Order,Dex #,Pokémon,Region
1,1,Bulbasaur,Kanto
2,2,Ivysaur,Kanto
3,3,Venusaur,Kanto
4,3,Mega Venusaur,Kanto
5,3,Gigantamax Venusaur,Galar
6,4,Charmander,Kanto
7,5,Charmeleon,Kanto
8,6,Charizard,Kanto
9,6,Mega Charizard X,Kanto
10,6,Mega Charizard Y,Kanto
11,6,Gigantamax Charizard,Galar
12,7,Squirtle,Kanto
13,8,Wartortle,Kanto
14,9,Blastoise,Kanto
15,9,Mega Blastoise,Kanto
16,9,Gigantamax Blastoise,Galar
17,10,Caterpie,Kanto
18,11,Metapod,Kanto
19,12,Butterfree,Kanto
20,12,Gigantamax Butterfree,Galar
21,13,Weedle,Kanto
22,14,Kakuna,Kanto
23,15,Beedrill,Kanto
24,15,Mega Beedrill,Kanto
25,16,Pidgey,Kanto
26,17,Pidgeotto,Kanto
27,18,Pidgeot,Kanto
28,18,Mega Pidgeot,Kanto
29,19,Rattata,Kanto
30,19,Alolan Rattata,Alola
31,20,Raticate,Kanto
32,20,Alolan Raticate,Alola
33,21,Spearow,Kanto
34,22,Fearow,Kanto
35,23,Ekans,Kanto
36,24,Arbok,Kanto
37,172,Pichu,Johto
38,25,Pikachu,Kanto
39,25,Gigantamax Pikachu,Galar
40,26,Raichu,Kanto
41,26,Mega Raichu X,Kanto
42,26,Mega Raichu Y,Kanto
43,26,Alolan Raichu,Alola
44,27,Sandshrew,Kanto
45,27,Alolan Sandshrew,Alola
46,28,Sandslash,Kanto
47,28,Alolan Sandslash,Alola
48,29,Nidoran Female,Kanto
49,30,Nidorina,Kanto
50,31,Nidoqueen,Kanto
51,32,Nidoran Male,Kanto
52,33,Nidorino,Kanto
53,34,Nidoking,Kanto
54,173,Cleffa,Johto
55,35,Clefairy,Kanto
56,36,Clefable,Kanto
57,36,Mega Clefable,Kanto
58,37,Vulpix,Kanto
59,37,Alolan Vulpix,Alola
60,38,Ninetales,Kanto
61,38,Alolan Ninetales,Alola
62,174,Igglybuff,Johto
63,39,Jigglypuff,Kanto
64,40,Wigglytuff,Kanto
65,41,Zubat,Kanto
66,42,Golbat,Kanto
67,169,Crobat,Johto
68,43,Oddish,Kanto
69,44,Gloom,Kanto
70,45,Vileplume,Kanto
71,182,Bellossom,Johto
72,46,Paras,Kanto
73,47,Parasect,Kanto
74,48,Venonat,Kanto
75,49,Venomoth,Kanto
76,50,Diglett,Kanto
77,50,Alolan Diglett,Alola
78,51,Dugtrio,Kanto
79,51,Alolan Dugtrio,Alola
80,52,Meowth,Kanto
81,52,Gigantamax Meowth,Galar
82,52,Alolan Meowth,Alola
83,52,Galarian Meowth,Galar
84,53,Persian,Kanto
85,53,Alolan Persian,Alola
86,863,Perrserker,Galar
87,54,Psyduck,Kanto
88,55,Golduck,Kanto
89,56,Mankey,Kanto
90,57,Primeape,Kanto
91,979,Annihilape,Paldea
92,58,Growlithe,Kanto
93,58,Hisuian Growlithe,Hisui
94,59,Arcanine,Kanto
95,59,Hisuian Arcanine,Hisui
96,60,Poliwag,Kanto
97,61,Poliwhirl,Kanto
98,62,Poliwrath,Kanto
99,186,Politoed,Johto
100,63,Abra,Kanto
101,64,Kadabra,Kanto
102,65,Alakazam,Kanto
103,65,Mega Alakazam,Kanto
104,66,Machop,Kanto
105,67,Machoke,Kanto
106,68,Machamp,Kanto
107,68,Gigantamax Machamp,Galar
108,69,Bellsprout,Kanto
109,70,Weepinbell,Kanto
110,71,Victreebel,Kanto
111,71,Mega Victreebel,Kanto
112,72,Tentacool,Kanto
113,73,Tentacruel,Kanto
114,74,Geodude,Kanto
115,74,Alolan Geodude,Alola
116,75,Graveler,Kanto
117,75,Alolan Graveler,Alola
118,76,Golem,Kanto
119,76,Alolan Golem,Alola
120,77,Ponyta,Kanto
121,77,Galarian Ponyta,Galar
122,78,Rapidash,Kanto
123,78,Galarian Rapidash,Galar
124,79,Slowpoke,Kanto
125,79,Galarian Slowpoke,Galar
126,80,Slowbro,Kanto
127,80,Mega Slowbro,Kanto
128,80,Galarian Slowbro,Galar
129,199,Slowking,Johto
130,199,Galarian Slowking,Galar
131,81,Magnemite,Kanto
132,82,Magneton,Kanto
133,462,Magnezone,Sinnoh
134,83,Farfetch'd,Kanto
135,83,Galarian Farfetch'd,Galar
136,865,Sirfetch'd,Galar
137,84,Doduo,Kanto
138,85,Dodrio,Kanto
139,86,Seel,Kanto
140,87,Dewgong,Kanto
141,88,Grimer,Kanto
142,88,Alolan Grimer,Alola
143,89,Muk,Kanto
144,89,Alolan Muk,Alola
145,90,Shellder,Kanto
146,91,Cloyster,Kanto
147,92,Gastly,Kanto
148,93,Haunter,Kanto
149,94,Gengar,Kanto
150,94,Mega Gengar,Kanto
151,94,Gigantamax Gengar,Galar
152,95,Onix,Kanto
153,208,Steelix,Johto
154,208,Mega Steelix,Johto
155,96,Drowzee,Kanto
156,97,Hypno,Kanto
157,98,Krabby,Kanto
158,99,Kingler,Kanto
159,99,Gigantamax Kingler,Galar
160,100,Voltorb,Kanto
161,100,Hisuian Voltorb,Hisui
162,101,Electrode,Kanto
163,101,Hisuian Electrode,Hisui
164,102,Exeggcute,Kanto
165,103,Exeggutor,Kanto
166,103,Alolan Exeggutor,Alola
167,104,Cubone,Kanto
168,105,Marowak,Kanto
169,105,Alolan Marowak,Alola
170,236,Tyrogue,Johto
171,106,Hitmonlee,Kanto
172,107,Hitmonchan,Kanto
173,237,Hitmontop,Johto
174,108,Lickitung,Kanto
175,463,Lickilicky,Sinnoh
176,109,Koffing,Kanto
177,110,Weezing,Kanto
178,110,Galarian Weezing,Galar
179,111,Rhyhorn,Kanto
180,112,Rhydon,Kanto
181,464,Rhyperior,Sinnoh
182,440,Happiny,Sinnoh
183,113,Chansey,Kanto
184,242,Blissey,Johto
185,114,Tangela,Kanto
186,465,Tangrowth,Sinnoh
187,115,Kangaskhan,Kanto
188,115,Mega Kangaskhan,Kanto
189,116,Horsea,Kanto
190,117,Seadra,Kanto
191,230,Kingdra,Johto
192,118,Goldeen,Kanto
193,119,Seaking,Kanto
194,120,Staryu,Kanto
195,121,Starmie,Kanto
196,121,Mega Starmie,Kanto
197,439,Mime Jr.,Sinnoh
198,122,Mr. Mime,Kanto
199,122,Galarian Mr. Mime,Galar
200,866,Mr. Rime,Galar
201,123,Scyther,Kanto
202,212,Scizor,Johto
203,212,Mega Scizor,Johto
204,900,Kleavor,Hisui
205,238,Smoochum,Johto
206,124,Jynx,Kanto
207,239,Elekid,Johto
