Card Name,Set,Card Number,Rarity,Foil,Owned,Condition,Quantity,Market Value,Purchase Price,Target Buy Price,GainLoss,Notes,Artist,Language
Corsola,Neo Discovery,37,Uncommon,1st Edition,No,,0,13.99,,,,,Yuka Morii,English
Corsola,Neo Discovery,37,Uncommon,Unlimited,No,,0,6.99,,,,,Yuka Morii,English
Caterpie,Neo Discovery,53,Common,1st Edition,No,,0,6.09,,,,,Yuka Morii,English
Caterpie,Neo Discovery,53,Common,Unlimited,No,,0,2.19,,,,,Yuka Morii,English
Kabuto,Neo Discovery,56,Common,1st Edition,No,,0,9.99,,,,,Yuka Morii,English
Kabuto,Neo Discovery,56,Common,Unlimited,No,,0,2.49,,,,,Yuka Morii,English
Omanyte,Neo Discovery,60,Common,1st Edition,No,,0,9.99,,,,,Yuka Morii,English
Omanyte,Neo Discovery,60,Common,Unlimited,No,,0,2.59,,,,,Yuka Morii,English
Blissey,Neo Revelation,2,Rare Holo,1st Edition Holofoil,No,,0,157,,,,,Yuka Morii,English
Blissey,Neo Revelation,2,Rare Holo,Unlimited Holofoil,No,,0,69.99,,,,,Yuka Morii,English
Goldeen,Neo Revelation,45,Common,1st Edition,No,,0,4.49,,,,,Yuka Morii,English
Goldeen,Neo Revelation,45,Common,Unlimited,No,,0,3.09,,,,,Yuka Morii,English
Quagsire,Neo Revelation,48,Common,1st Edition,No,,0,10.99,,,,,Yuka Morii,English
Quagsire,Neo Revelation,48,Common,Unlimited,No,,0,4.29,,,,,Yuka Morii,English
Shuckle,Neo Revelation,51,Common,1st Edition,No,,0,14.99,,,,,Yuka Morii,English
Shuckle,Neo Revelation,51,Common,Unlimited,No,,0,3.49,,,,,Yuka Morii,English
Light Azumarill,Neo Destiny,13,Rare Holo,1st Edition Holofoil,No,,0,171,,,,,Yuka Morii,English
Light Azumarill,Neo Destiny,13,Rare Holo,Unlimited Holofoil,No,,0,19.99,,,,,Yuka Morii,English
Chansey,Neo Destiny,31,Uncommon,1st Edition,No,,0,37.99,,,,,Yuka Morii,English
Chansey,Neo Destiny,31,Uncommon,Unlimited,No,,0,13.99,,,,,Yuka Morii,English
Jigglypuff,Neo Destiny,44,Uncommon,1st Edition,No,,0,34.99,,,,,Yuka Morii,English
Jigglypuff,Neo Destiny,44,Uncommon,Unlimited,No,,0,17.99,,,,,Yuka Morii,English
Togepi,Neo Destiny,56,Uncommon,1st Edition,No,,0,50.99,,,,,Yuka Morii,English
Togepi,Neo Destiny,56,Uncommon,Unlimited,No,,0,25.99,,,,,Yuka Morii,English
Dratini,Neo Destiny,63,Common,1st Edition,No,,0,15.99,,,,,Yuka Morii,English
Dratini,Neo Destiny,63,Common,Unlimited,No,,0,8.49,,,,,Yuka Morii,English
Girafarig,Neo Destiny,66,Common,1st Edition,No,,0,9.39,,,,,Yuka Morii,English
Girafarig,Neo Destiny,66,Common,Unlimited,No,,0,4.39,,,,,Yuka Morii,English
Psyduck,Neo Destiny,79,Common,1st Edition,No,,0,68.99,,,,,Yuka Morii,English
Psyduck,Neo Destiny,79,Common,Unlimited,No,,0,21.99,,,,,Yuka Morii,English
Poliwrath,Expedition Base Set,24,Rare Holo,Holofoil,No,,0,124,,,,,Yuka Morii,English
Poliwrath,Expedition Base Set,24,Rare Holo,Reverse Holofoil,No,,0,54.99,,,,,Yuka Morii,English
Poliwrath,Expedition Base Set,60,Rare,Normal,No,,0,34.99,,,,,Yuka Morii,English
Poliwrath,Expedition Base Set,60,Rare,Reverse Holofoil,No,,0,46.99,,,,,Yuka Morii,English
Poliwhirl,Expedition Base Set,89,Uncommon,Normal,No,,0,25.99,,,,,Yuka Morii,English
Poliwhirl,Expedition Base Set,89,Uncommon,Reverse Holofoil,No,,0,51.99,,,,,Yuka Morii,English
Poliwag,Expedition Base Set,125,Common,Normal,No,,0,16.99,,,,,Yuka Morii,English
Poliwag,Expedition Base Set,125,Common,Reverse Holofoil,No,,0,46.99,,,,,Yuka Morii,English
Rattata,Expedition Base Set,128,Common,Normal,No,,0,8.59,,,,,Yuka Morii,English
